epoch,train_loss
0,0.394831
1,0.083424
2,0.069664
3,0.062107
4,0.059812
5,0.054137
6,0.052522
7,0.050151
8,0.049332
9,0.048916
10,0.047625
11,0.046993
12,0.045053
13,0.045195
14,0.043981
15,0.043529
16,0.043034
17,0.041789
18,0.041713
19,0.041009
20,0.040189
21,0.040018
22,0.040161
23,0.038412
24,0.037631
25,0.036438
26,0.037874
27,0.037294
28,0.035747
29,0.036890
30,0.035423
31,0.034593
32,0.034181
33,0.033975
34,0.034296
35,0.034095
36,0.031693
37,0.033351
38,0.032047
39,0.031727
40,0.030594
41,0.031572
42,0.031196
43,0.032671
44,0.030874
45,0.028880
46,0.031265
47,0.028464
48,0.029456
49,0.029873
50,0.029753
51,0.028568
52,0.027702
53,0.029425
54,0.028275
55,0.028577
56,0.026399
57,0.026846
58,0.028692
59,0.026935
60,0.027152
61,0.026309
62,0.027074
63,0.025945
64,0.026851
65,0.025601
66,0.025255
67,0.027225
68,0.025906
69,0.025238
70,0.025094
71,0.025212
72,0.025068
73,0.024378
74,0.024361
75,0.023681
76,0.023722
77,0.023650
78,0.023733
79,0.023441
80,0.023507
81,0.022785
82,0.023592
83,0.023871
84,0.023854
85,0.022679
86,0.022214
87,0.022305
88,0.022639
89,0.022953
90,0.023133
91,0.021644
92,0.022045
93,0.021990
94,0.021447
95,0.021940
96,0.020764
97,0.020299
98,0.020316
99,0.020503
100,0.021236
101,0.020959
102,0.020570
103,0.020119
104,0.021166
105,0.020503
106,0.019837
107,0.020146
108,0.019094
109,0.018945
110,0.018828
111,0.019955
112,0.020014
113,0.019807
114,0.018656
115,0.019450
116,0.018743
117,0.019650
118,0.017991
119,0.019046
120,0.020217
121,0.018504
122,0.017807
123,0.018651
124,0.017734
125,0.018865
126,0.018980
127,0.017457
128,0.017493
129,0.017951
130,0.019337
131,0.018177
132,0.017790
133,0.017997
134,0.017243
135,0.017597
136,0.017561
137,0.018078
138,0.017365
139,0.017290
140,0.018748
141,0.016456
142,0.016864
143,0.016739
144,0.017725
145,0.017599
146,0.017140
147,0.016183
148,0.016834
149,0.017219
150,0.015452
151,0.016286
152,0.016709
153,0.016076
154,0.017350
155,0.016374
156,0.016606
157,0.016790
158,0.015806
159,0.016387
160,0.015987
161,0.016603
162,0.015723
163,0.015073
164,0.015534
165,0.015164
166,0.016244
167,0.015362
168,0.015728
169,0.016251
170,0.015418
171,0.015075
172,0.014857
173,0.014711
174,0.015078
175,0.015224
176,0.015398
177,0.014924
178,0.015565
179,0.015162
180,0.015025
181,0.014483
182,0.015259
183,0.013481
184,0.014690
185,0.015391
186,0.014585
187,0.014536
188,0.014353
189,0.012883
190,0.013853
191,0.013342
192,0.014433
193,0.014589
194,0.014570
195,0.013746
196,0.014536
197,0.013750
198,0.014202
199,0.014411
200,0.013449
201,0.014362
202,0.013701
203,0.014702
204,0.013772
205,0.014291
206,0.013489
207,0.013090
208,0.013938
209,0.013850
210,0.013654
211,0.014030
212,0.013853
213,0.012876
214,0.012969
215,0.014390
216,0.012782
217,0.013079
218,0.013092
219,0.013240
220,0.012413
221,0.012571
222,0.012782
223,0.012908
224,0.012680
225,0.013225
226,0.012876
227,0.012513
228,0.012670
229,0.011634
230,0.013150
231,0.012763
232,0.012481
233,0.012983
234,0.013031
235,0.011873
236,0.011277
237,0.012713
238,0.012797
239,0.012449
240,0.011980
241,0.012314
242,0.012067
243,0.011868
244,0.011731
245,0.012213
246,0.011177
247,0.011460
248,0.011547
249,0.012153
250,0.011614
251,0.011887
252,0.011580
253,0.011898
254,0.012472
255,0.011502
256,0.011703
257,0.012165
258,0.010495
259,0.011334
260,0.011635
261,0.011757
262,0.010452
263,0.011934
264,0.011726
265,0.011193
266,0.011005
267,0.010419
268,0.011202
269,0.011018
270,0.010490
271,0.011647
272,0.009968
273,0.010609
274,0.010145
275,0.010652
276,0.011535
277,0.010989
278,0.011090
279,0.012222
280,0.010599
281,0.011324
282,0.010374
283,0.010503
284,0.010967
285,0.010286
286,0.010686
287,0.010694
288,0.010555
289,0.010206
290,0.010722
291,0.010452
292,0.010655
293,0.010601
294,0.011182
295,0.010760
296,0.009745
297,0.010637
298,0.010550
299,0.009945
300,0.009943
301,0.010189
302,0.009996
303,0.009560
304,0.010153
305,0.009683
306,0.010263
307,0.009490
308,0.009388
309,0.010158
310,0.009866
311,0.009213
312,0.009606
313,0.009738
314,0.010097
315,0.009883
316,0.009563
317,0.009150
318,0.009055
319,0.009733
320,0.008902
321,0.009198
322,0.009511
323,0.009222
324,0.009964
325,0.008932
326,0.009516
327,0.008858
328,0.009427
329,0.008858
330,0.008828
331,0.009286
332,0.008879
333,0.009629
334,0.008915
335,0.009125
336,0.008753
337,0.009514
338,0.009177
339,0.008143
340,0.008839
341,0.008711
342,0.008827
343,0.008759
344,0.008705
345,0.008725
346,0.008661
347,0.009294
348,0.008427
349,0.009043
350,0.008472
351,0.008772
352,0.008136
353,0.008182
354,0.008529
355,0.009025
356,0.008526
357,0.008190
358,0.008551
359,0.008553
360,0.008596
361,0.007695
362,0.008756
363,0.008244
364,0.008115
365,0.008124
366,0.007534
367,0.007736
368,0.008389
369,0.008238
370,0.008876
371,0.007576
372,0.008167
373,0.008022
374,0.008665
375,0.008247
376,0.008125
377,0.007822
378,0.008241
379,0.008196
380,0.007551
381,0.007828
382,0.007865
383,0.007728
384,0.007123
385,0.007515
386,0.007744
387,0.007660
388,0.008157
389,0.007607
390,0.007908
391,0.008437
392,0.007971
393,0.007251
394,0.007289
395,0.006977
396,0.007022
397,0.007741
398,0.007545
399,0.006803
400,0.007003
401,0.007707
402,0.007283
403,0.007526
404,0.007316
405,0.007614
406,0.007237
407,0.007574
408,0.007164
409,0.007177
410,0.006882
411,0.007329
412,0.007325
413,0.006985
414,0.006806
415,0.007144
416,0.007279
417,0.006605
418,0.006729
419,0.006420
420,0.006525
421,0.006692
422,0.006665
423,0.006662
424,0.007138
425,0.006928
426,0.007031
427,0.006756
428,0.006296
429,0.006451
430,0.006006
431,0.006291
432,0.006701
433,0.006283
434,0.006553
435,0.006480
436,0.006196
437,0.006297
438,0.005926
439,0.006930
440,0.006333
441,0.006642
442,0.006652
443,0.006381
444,0.006117
445,0.006194
446,0.006021
447,0.006410
448,0.006126
449,0.005804
450,0.006253
451,0.006349
452,0.006260
453,0.005997
454,0.005828
455,0.006033
456,0.005760
457,0.005763
458,0.005859
459,0.005625
460,0.005610
461,0.005843
462,0.005861
463,0.006048
464,0.005650
465,0.005914
466,0.005912
467,0.005757
468,0.005617
469,0.005366
470,0.005788
471,0.005327
472,0.005658
473,0.005617
474,0.006139
475,0.005723
476,0.005450
477,0.005376
478,0.005258
479,0.005141
480,0.005638
481,0.005244
482,0.005443
483,0.005425
484,0.005443
485,0.005178
486,0.005791
487,0.005401
488,0.005682
489,0.005318
490,0.005304
491,0.004918
492,0.004827
493,0.004839
494,0.005421
495,0.005389
496,0.005156
497,0.004864
498,0.004512
499,0.004884
500,0.005029
501,0.005193
502,0.004761
503,0.005150
504,0.004878
505,0.004748
506,0.004646
507,0.004702
508,0.005081
509,0.005062
510,0.004761
511,0.005291
512,0.004821
513,0.004675
514,0.004533
515,0.004499
516,0.004464
517,0.004512
518,0.004824
519,0.004349
520,0.004735
521,0.004451
522,0.004865
523,0.004426
524,0.004620
525,0.004335
526,0.004204
527,0.004489
528,0.004348
529,0.004531
530,0.004232
531,0.004164
532,0.004417
533,0.004313
534,0.004371
535,0.003973
536,0.004300
537,0.004251
538,0.004339
539,0.004329
540,0.004117
541,0.004071
542,0.004042
543,0.004442
544,0.004376
545,0.003975
546,0.004479
547,0.003951
548,0.004568
549,0.004116
550,0.003673
551,0.003901
552,0.004031
553,0.004198
554,0.004115
555,0.003973
556,0.004288
557,0.004026
558,0.003649
559,0.003823
560,0.004105
561,0.003833
562,0.004091
563,0.003816
564,0.003906
565,0.004047
566,0.003698
567,0.003721
568,0.003572
569,0.003498
570,0.003678
571,0.003707
572,0.003575
573,0.003657
574,0.003513
575,0.003598
576,0.003681
577,0.003655
578,0.003509
579,0.003283
580,0.003282
581,0.002812
582,0.003285
583,0.003329
584,0.003392
585,0.003411
586,0.003184
587,0.003542
588,0.003084
589,0.003406
590,0.003239
591,0.003231
592,0.003349
593,0.003248
594,0.003389
595,0.003345
596,0.003593
597,0.003299
598,0.003072
599,0.003077
600,0.003268
601,0.003272
602,0.003157
603,0.003223
604,0.003044
605,0.002939
606,0.003296
607,0.002986
608,0.002983
609,0.003056
610,0.002987
611,0.002861
612,0.002842
613,0.002915
614,0.002705
615,0.002936
616,0.003041
617,0.002750
618,0.003196
619,0.003037
620,0.002835
621,0.002852
622,0.002964
623,0.002945
624,0.002925
625,0.003074
626,0.002766
627,0.002821
628,0.002780
629,0.002758
630,0.002796
631,0.002692
632,0.002782
633,0.002583
634,0.002618
635,0.002726
636,0.002666
637,0.002651
638,0.002511
639,0.002398
640,0.002758
641,0.002682
642,0.002569
643,0.002453
644,0.002780
645,0.002702
646,0.002470
647,0.002505
648,0.002509
649,0.002681
650,0.002528
651,0.002430
652,0.002409
653,0.002365
654,0.002284
655,0.002570
656,0.002436
657,0.002331
658,0.002440
659,0.002295
660,0.002331
661,0.002291
662,0.002504
663,0.002274
664,0.002257
665,0.002329
666,0.002253
667,0.002115
668,0.002200
669,0.002270
670,0.002306
671,0.002493
672,0.002100
673,0.002254
674,0.002124
675,0.002137
676,0.001867
677,0.002312
678,0.002018
679,0.002099
680,0.002031
681,0.002291
682,0.002203
683,0.002013
684,0.001923
685,0.002038
686,0.001947
687,0.002073
688,0.001918
