epoch,lr,train_loss,train_action_mse_error,val_loss,train_mean_score
0,3.3600000000000004e-05,0.3948309829990779,4464.19482421875,0.10825575888156891,0.13856559028931864
1,6.720000000000001e-05,0.08342436128961188,,,
2,9.99999997798095e-05,0.06966399975741903,,,
3,9.999959286831328e-05,0.062106962803573834,,,
4,9.999840913205527e-05,0.05981216529783394,,,
5,9.999644858942671e-05,0.0541369342910392,2961.81103515625,0.05446872115135193,
6,9.999371127088781e-05,0.052521937837203346,,,
7,9.999019721896725e-05,0.05015083862512949,,,
8,9.998590648826154e-05,0.04933171577396847,,,
9,9.998083914543413e-05,0.048916280280709976,,,
10,9.997499526921442e-05,0.04762493464208785,1910.782958984375,0.049601051956415176,
11,9.996837495039648e-05,0.046992868406786806,,,
12,9.996097829183773e-05,0.0450531913499747,,,
13,9.995280540845723e-05,0.04519539955072105,,,
14,9.994385642723401e-05,0.043980938471144156,,,
15,9.993413148720496e-05,0.04352931875646824,1849.1871337890625,0.044615406543016434,
16,9.992363073946283e-05,0.04303418075488437,,,
17,9.991235434715375e-05,0.04178909726795696,,,
18,9.990030248547477e-05,0.0417125490272329,,,
19,9.988747534167111e-05,0.0410089989392353,,,
20,9.987387311503325e-05,0.04018943464117391,1677.94775390625,0.043999966233968735,
21,9.985949601689381e-05,0.04001768866908692,,,
22,9.98443442706244e-05,0.04016101660783447,,,
23,9.982841811163187e-05,0.03841208277403244,,,
24,9.981171778735501e-05,0.03763061306173248,,,
25,9.979424355726039e-05,0.0364384652847158,1427.2303466796875,0.04376409202814102,
26,9.977599569283854e-05,0.037874249630563316,,,
27,9.975697447759963e-05,0.037293918464066725,,,
28,9.973718020706909e-05,0.03574651590592805,,,
29,9.971661318878296e-05,0.03688994815040912,,,
30,9.969527374228329e-05,0.035422678626630275,987.7479858398438,0.044670090079307556,
31,9.967316219911297e-05,0.03459318492206789,,,
32,9.965027890281067e-05,0.03418095398782974,,,
33,9.962662420890552e-05,0.0339754973926271,,,
34,9.960219848491153e-05,0.03429630019568971,,,
35,9.957700211032197e-05,0.034094941458620485,1013.23779296875,0.045675646513700485,
36,9.955103547660335e-05,0.03169289322215177,,,
37,9.952429898718946e-05,0.03335109379674707,,,
38,9.949679305747501e-05,0.032046950760386175,,,
39,9.946851811480921e-05,0.031727249368226955,,,
40,9.943947459848918e-05,0.030594142159402725,731.09912109375,0.04583555832505226,
41,9.940966295975304e-05,0.031571951339997,,,
42,9.937908366177293e-05,0.031195710014019693,,,
43,9.934773717964783e-05,0.03267099397323493,,,
44,9.931562400039622e-05,0.030873595082777597,,,
45,9.928274462294836e-05,0.028879657154902816,660.080810546875,0.04388117045164108,
46,9.924909955813875e-05,0.03126509062990192,,,
47,9.921468932869801e-05,0.02846436271820927,,,
48,9.917951446924485e-05,0.02945571273587467,,,
49,9.91435755262778e-05,0.029873258068359325,,,
50,9.910687305816657e-05,0.02975349514634304,561.949462890625,0.04356854408979416,0.7515575457511595
51,9.906940763514355e-05,0.028568172688773347,,,
52,9.903117983929484e-05,0.027701952417070668,,,
53,9.899219026455127e-05,0.02942492179239967,,,
54,9.895243951667907e-05,0.02827453939244151,,,
55,9.89119282132706e-05,0.028576916283262626,492.62628173828125,0.044554512947797775,
56,9.887065698373466e-05,0.02639917976644245,,,
57,9.882862646928672e-05,0.02684580595676033,,,
58,9.8785837322939e-05,0.028691603380831935,,,
59,9.874229020949027e-05,0.026934870369067148,,,
60,9.869798580551554e-05,0.02715178301912688,502.06158447265625,0.045839689671993256,
61,9.865292479935562e-05,0.026309139793738723,,,
62,9.86071078911063e-05,0.0270741957771991,,,
63,9.856053579260754e-05,0.025945037021301687,,,
64,9.851320922743243e-05,0.026850766812761623,,,
65,9.84651289308759e-05,0.025600589501361053,338.28411865234375,0.045750126242637634,
66,9.841629564994334e-05,0.025254862227787573,,,
67,9.836671014333898e-05,0.027224965720614863,,,
68,9.831637318145405e-05,0.025906401747349827,,,
69,9.826528554635492e-05,0.025238329400530175,,,
70,9.821344803177083e-05,0.025094064002457474,353.53448486328125,0.04634431377053261,
71,9.816086144308163e-05,0.025211524140710633,,,
72,9.810752659730527e-05,0.02506799255830369,,,
73,9.805344432308507e-05,0.024378064817505048,,,
74,9.799861546067688e-05,0.024361445707091617,,,
75,9.794304086193598e-05,0.02368059409560547,393.02252197265625,0.04879714176058769,
76,9.788672139030389e-05,0.023721872651506038,,,
77,9.782965792079495e-05,0.023649698788566247,,,
78,9.777185133998269e-05,0.02373296205907883,,,
79,9.77133025459861e-05,0.023441444816333906,,,
80,9.765401244845562e-05,0.02350722508327592,330.993408203125,0.049610305577516556,
81,9.759398196855912e-05,0.022785137873142958,,,
82,9.75332120389674e-05,0.02359236382125389,,,
